Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
343,10,10,,"град София, Изток",2019,МНОГОСТАЕН,Тухла,825000
340,7,8,НЕ,"град София, Център",2009,МНОГОСТАЕН,Тухла,219490
340,4,6,,"град София, Манастирски ливади",2019,МНОГОСТАЕН,Тухла,280000
340,5,6,,"град София, Манастирски ливади",2015,МНОГОСТАЕН,Тухла,245000
340,1,3,,"град София, Бояна",2019,МНОГОСТАЕН,Тухла,425000
340,10,10,ДА,"град София, Изток",2020,4-СТАЕН,Тухла,821300
337,5,5,ДА,"град София, Люлин 8",2020,МНОГОСТАЕН,Тухла,200000
337,5,6,ДА,"град София, Витоша",2000,МНОГОСТАЕН,Тухла,260000
337,5,5,ДА,"град София, Люлин 8",2020,4-СТАЕН,Тухла,200000
336,5,6,ДА,"град София, Люлин 8",2020,МЕЗОНЕТ,Тухла,199900
336,6,7,Лок.отопл.,"град София, Витоша",2020,МЕЗОНЕТ,Тухла,314000
336,5,5,ДА,"град София, Люлин 8",2020,4-СТАЕН,Тухла,200000
335,12,12,НЕ,"град София, Манастирски ливади",2020,МНОГОСТАЕН,Тухла,525000
332,1,5,,"град София, Горубляне",2022,МЕЗОНЕТ,Тухла,205000
330,8,8,ДА,"град София, Младост 3",2011,МЕЗОНЕТ,Тухла,269000
330,12,12,НЕ,"град София, Манастирски ливади",2020,МЕЗОНЕТ,Тухла,525600
330,4,4,,"град София, Симеоново",2017,4-СТАЕН,Тухла,660000
330,6,7,,"град София, Павлово",2020,4-СТАЕН,Тухла,502504
330,2,4,,"град София, Лозенец",2005,4-СТАЕН,Тухла,700000
330,10,10,ДА,"град София, Изток",2019,4-СТАЕН,Тухла,1500000
330,1,5,НЕ,"град София, Карпузица",2009,3-СТАЕН,Тухла,149000
330,5,6,ДА,"град София, Студентски град",2003,МЕЗОНЕТ,Тухла,260000
328,8,8,ДА,"град София, Дианабад",2019,МНОГОСТАЕН,Тухла,264000
327,3,3,,"град София, в.з.Малинова долина",2020,4-СТАЕН,Тухла,290000
327,6,7,,"град София, Кръстова вада",2021,МЕЗОНЕТ,Тухла,441450
326,9,9,ДА,"град София, Подуяне",2021,МНОГОСТАЕН,Тухла,199990
326,9,9,ДА,"град София, Оборище",2021,МНОГОСТАЕН,Тухла,199990
323,7,7,,"град София, Лозенец",2009,МНОГОСТАЕН,Тухла,650000
322,4,4,,"град София, Манастирски ливади",2005,МНОГОСТАЕН,Тухла,549500
322,1,8,НЕ,"град София, Манастирски ливади",2021,3-СТАЕН,Тухла,132886
320,6,7,Лок.отопл.,"град София, Стрелбище",2000,МНОГОСТАЕН,Тухла,298000
320,4,4,,"град София, Манастирски ливади",2019,4-СТАЕН,Тухла,195000
320,2,9,ДА,"град София, Кръстова вада",2018,4-СТАЕН,Тухла,272300
320,10,10,ДА,"град София, Изток",2020,4-СТАЕН,Тухла,753500
320,4,4,,"град София, Драгалевци",2019,4-СТАЕН,Тухла,309900
318,6,7,ДА,"град София, Стрелбище",2000,МЕЗОНЕТ,Тухла,300000
318,10,10,ДА,"град София, Лагера",2021,МНОГОСТАЕН,Тухла,220000
