Id,Url,Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
68,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159585243994569&slink=603y37&f1=1,30,2,14,,"град София, Люлин 7",1990,1-СТАЕН,ЕПК,41000
69,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160093396583404&slink=603y37&f1=1,30,3,4,,"град София, Малинова долина",2020,1-СТАЕН,Тухла,35999
70,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159827759908601&slink=603y37&f1=1,30,4,17,ДА,"град София, Студентски град",0,1-СТАЕН,ЕПК,34500
71,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b160129418177919&slink=603y37&f1=1,30,6,7,,"град София, Люлин 6",0,2-СТАЕН,Панел,39900
72,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160317015742125&slink=603y37&f1=1,30,7,8,ДА,"град София, Дружба 1",0,АТЕЛИЕ, ТАВАН,Панел,44000
73,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159859934380368&slink=603y3g&f1=1,31,1,9,НЕ,"град София, Белите брези",1981,1-СТАЕН,Тухла,49600
74,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160207466754854&slink=603y3g&f1=1,31,4,5,,"град София, Левски",2021,1-СТАЕН,Тухла,29200
75,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159645893375506&slink=603y3g&f1=1,31,1,6,ДА,"град София, Люлин 8",2005,1-СТАЕН,Тухла,28000
76,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159438359279568&slink=603y3g&f1=1,31,16,16,ДА,"град София, Надежда 4",1987,1-СТАЕН,ЕПК,36000
77,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154954945818362&slink=603y3g&f1=1,31,1,1,,"град София, Редута",0,1-СТАЕН,Тухла,36000
78,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159912359211473&slink=603y3g&f1=1,31,1,6,,"град София, Студентски град",2016,1-СТАЕН,Тухла,50000
79,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160326387688066&slink=603y3g&f1=1,31,1,1,,"град София, Център",1960,1-СТАЕН,Тухла,43000
80,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160343127455961&slink=603y3g&f1=1,31,5,5,ДА,"град София, Докторски паметник",0,АТЕЛИЕ, ТАВАН,Тухла,79980
81,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159921168199804&slink=603y3k&f1=1,32,1,7,,"град София, Люлин 7",1985,1-СТАЕН,Панел,36000
82,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158945301111819&slink=603y3k&f1=1,32,5,8,НЕ,"град София, Горубляне",2017,1-СТАЕН,Тухла,39200
83,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160266960494976&slink=603y3k&f1=1,32,6,8,,"град София, Горубляне",0,1-СТАЕН,Панел,45000
84,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160284642445364&slink=603y3k&f1=1,32,6,8,,"град София, Експериментален",0,1-СТАЕН,Панел,45000
85,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157053947749305&slink=603y3k&f1=1,32,1,8,Лок.отопл.,"град София, Люлин 6",0,1-СТАЕН,Панел,35990
86,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160162563948170&slink=603y3k&f1=1,32,2,12,ДА,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,39900
87,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159764816773101&slink=603y3k&f1=1,32,2,13,НЕ,"град София, Люлин 7",1988,1-СТАЕН,ЕПК,44000
88,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159895104279282&slink=603y3k&f1=1,32,2,13,ДА,"град София, Люлин 7",0,1-СТАЕН,ЕПК,44000
89,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160267072737704&slink=603y3k&f1=1,32,6,8,,"град София, Младост 3",2018,1-СТАЕН,Панел,45000
90,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159075543230603&slink=603y3k&f1=1,32,1,6,НЕ,"град София, Овча купел",2022,1-СТАЕН,Тухла,31850
91,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159169162743426&slink=603y3k&f1=1,32,2,4,НЕ,"град София, Студентски град",2020,1-СТАЕН,Тухла,39500
92,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159886925453656&slink=603y3k&f1=1,32,5,5,ДА,"град София, Студентски град",2015,1-СТАЕН,Тухла,49998
93,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156276083681806&slink=603y3r&f1=1,33,2,5,,"град София, Малинова долина",0,1-СТАЕН,Тухла,33000
94,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160309960267142&slink=603y3r&f1=1,33,3,3,ДА,"град София, Лозенец",1970,1-СТАЕН,Тухла,49800
95,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160033565268524&slink=603y3r&f1=1,33,2,6,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,66000
96,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156993810675431&slink=603y3r&f1=1,33,1,8,,"град София, Люлин 6",1980,1-СТАЕН,Панел,35999
97,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160103896980816&slink=603y3r&f1=1,33,1,4,,"град София, Малинова долина",0,1-СТАЕН,Тухла,35600
98,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158798000010680&slink=603y3r&f1=1,33,1,7,ДА,"град София, Стрелбище",2006,1-СТАЕН,Тухла,48900
99,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159920378029434&slink=603y3r&f1=1,33,1,2,,"град София, Студентски град",2010,1-СТАЕН,Тухла,33000
100,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159732086262082&slink=603y3r&f1=1,33,2,2,,"град София, Студентски град",2008,1-СТАЕН,Тухла,35000
101,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158894573573995&slink=603y3r&f1=1,33,3,6,ДА,"град София, Студентски град",2020,1-СТАЕН,Тухла,39100
102,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159230263378196&slink=603y3r&f1=1,33,4,7,ДА,"град София, Студентски град",2020,1-СТАЕН,Тухла,39100
103,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160207418954733&slink=603y3r&f1=1,33,1,6,Лок.отопл.,"град София, Студентски град",2018,1-СТАЕН,Тухла,39999
104,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160171592724984&slink=603y3r&f1=1,33,5,5,ДА,"град София, Студентски град",2015,1-СТАЕН,Тухла,49999
105,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159714754354119&slink=603y3r&f1=1,33,1,5,,"град София, Център",0,1-СТАЕН,Тухла,43000
106,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154263190709725&slink=603y3r&f1=1,33,0,0,ДА,"град София, Център",2006,1-СТАЕН,Тухла,45000
107,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160267112077249&slink=603y3r&f1=1,33,2,6,,"град София, Център",2010,1-СТАЕН,Тухла,66000
108,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160335616666295&slink=603y3r&f1=1,33,1,6,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,66000
109,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160043368479037&slink=603y3r&f1=1,33,1,6,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,66000
110,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160026580350938&slink=603y3r&f1=1,33,2,6,,"град София, Център",2010,1-СТАЕН,Тухла,66000
111,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160024818883831&slink=603y3r&f1=1,33,2,7,,"град София, Център",2010,1-СТАЕН,Тухла,66000
112,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160015367310964&slink=603y3r&f1=1,33,1,6,НЕ,"град София, Център",2010,1-СТАЕН,Тухла,66000
113,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160015703856857&slink=603y3r&f1=1,33,1,6,НЕ,"град София, Център",2010,1-СТАЕН,Тухла,66000
114,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160215421576967&slink=603y3r&f1=1,33,2,6,Лок.отопл.,"град София, Център",2010,1-СТАЕН,Тухла,66000
115,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160164460409485&slink=603y3r&f1=1,33,1,6,НЕ,"град София, Център",2010,1-СТАЕН,Тухла,66000
116,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b160087258486020&slink=603y3r&f1=1,33,2,4,,"град София, Малинова долина",0,2-СТАЕН,Тухла,36000
